,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
11946,11947,01/01/1970,Madhya Pradesh,792832,113.0,782195.0,10524.0
11947,11948,21/03/2020,Madhya Pradesh,4,4.0,0.0,0.0
11948,11949,22/03/2020,Madhya Pradesh,4,4.0,0.0,0.0
11949,11950,23/03/2020,Madhya Pradesh,6,6.0,0.0,0.0
11950,11951,24/03/2020,Madhya Pradesh,7,7.0,0.0,0.0
11951,11952,25/03/2020,Madhya Pradesh,7,7.0,0.0,0.0
11952,11953,26/03/2020,Madhya Pradesh,15,14.0,0.0,1.0
11953,11954,27/03/2020,Madhya Pradesh,20,19.0,0.0,1.0
11954,11955,28/03/2020,Madhya Pradesh,30,28.0,0.0,2.0
11955,11956,29/03/2020,Madhya Pradesh,30,28.0,0.0,2.0
11956,11957,30/03/2020,Madhya Pradesh,33,31.0,0.0,2.0
11957,11958,31/03/2020,Madhya Pradesh,47,44.0,0.0,3.0
11958,11959,01/04/2020,Madhya Pradesh,47,44.0,0.0,3.0
11959,11960,02/04/2020,Madhya Pradesh,99,93.0,0.0,6.0
11960,11961,03/04/2020,Madhya Pradesh,99,93.0,0.0,6.0
11961,11962,04/04/2020,Madhya Pradesh,104,98.0,0.0,6.0
11962,11963,05/04/2020,Madhya Pradesh,104,98.0,0.0,6.0
11963,11964,06/04/2020,Madhya Pradesh,165,156.0,0.0,9.0
11964,11965,07/04/2020,Madhya Pradesh,165,156.0,0.0,9.0
11965,11966,08/04/2020,Madhya Pradesh,229,216.0,0.0,13.0
11966,11967,09/04/2020,Madhya Pradesh,229,216.0,0.0,13.0
11967,11968,10/04/2020,Madhya Pradesh,259,243.0,0.0,16.0
11968,11969,11/04/2020,Madhya Pradesh,435,402.0,0.0,33.0
11969,11970,12/04/2020,Madhya Pradesh,532,496.0,0.0,36.0
11970,11971,13/04/2020,Madhya Pradesh,564,528.0,0.0,36.0
11971,11972,14/04/2020,Madhya Pradesh,604,517.0,44.0,43.0
11972,11973,15/04/2020,Madhya Pradesh,730,629.0,51.0,50.0
11973,11974,16/04/2020,Madhya Pradesh,987,870.0,64.0,53.0
11974,11975,17/04/2020,Madhya Pradesh,1120,1003.0,64.0,53.0
11975,11976,18/04/2020,Madhya Pradesh,1310,1172.0,69.0,69.0
11976,11977,19/04/2020,Madhya Pradesh,1407,1210.0,127.0,70.0
11977,11978,20/04/2020,Madhya Pradesh,1407,1210.0,127.0,70.0
11978,11979,21/04/2020,Madhya Pradesh,1485,1284.0,127.0,74.0
11979,11980,22/04/2020,Madhya Pradesh,1552,1328.0,148.0,76.0
11980,11981,23/04/2020,Madhya Pradesh,1592,1364.0,148.0,80.0
11981,11982,24/04/2020,Madhya Pradesh,1699,1413.0,203.0,83.0
11982,11983,25/04/2020,Madhya Pradesh,1852,1550.0,210.0,92.0
11983,11984,26/04/2020,Madhya Pradesh,2096,1787.0,210.0,99.0
11984,11985,27/04/2020,Madhya Pradesh,2096,1691.0,302.0,103.0
11985,11986,28/04/2020,Madhya Pradesh,2168,1756.0,302.0,110.0
11986,11987,29/04/2020,Madhya Pradesh,2387,1890.0,377.0,120.0
11987,11988,30/04/2020,Madhya Pradesh,2561,1971.0,461.0,129.0
11988,11989,01/05/2020,Madhya Pradesh,2660,2041.0,482.0,137.0
11989,11990,02/05/2020,Madhya Pradesh,2719,2050.0,524.0,145.0
11990,11991,03/05/2020,Madhya Pradesh,2846,2071.0,624.0,151.0
11991,11992,04/05/2020,Madhya Pradesh,2846,1892.0,798.0,156.0
11992,11993,05/05/2020,Madhya Pradesh,2942,1979.0,798.0,165.0
11993,11994,06/05/2020,Madhya Pradesh,3049,1873.0,1000.0,176.0
11994,11995,07/05/2020,Madhya Pradesh,3138,1854.0,1099.0,185.0
11995,11996,08/05/2020,Madhya Pradesh,3252,1828.0,1231.0,193.0
11996,11997,09/05/2020,Madhya Pradesh,3341,1792.0,1349.0,200.0
11997,11998,10/05/2020,Madhya Pradesh,3614,1723.0,1676.0,215.0
11998,11999,11/05/2020,Madhya Pradesh,3614,1723.0,1676.0,215.0
11999,12000,12/05/2020,Madhya Pradesh,3785,1817.0,1747.0,221.0
12000,12001,13/05/2020,Madhya Pradesh,3986,1901.0,1860.0,225.0
12001,12002,14/05/2020,Madhya Pradesh,4173,1937.0,2004.0,232.0
12002,12003,15/05/2020,Madhya Pradesh,4426,2018.0,2171.0,237.0
12003,12004,16/05/2020,Madhya Pradesh,4595,2073.0,2283.0,239.0
12004,12005,17/05/2020,Madhya Pradesh,4789,2231.0,2315.0,243.0
12005,12006,18/05/2020,Madhya Pradesh,4977,2326.0,2403.0,248.0
12006,12007,19/05/2020,Madhya Pradesh,5236,2549.0,2435.0,252.0
12007,12008,20/05/2020,Madhya Pradesh,5465,2577.0,2630.0,258.0
12008,12009,21/05/2020,Madhya Pradesh,5735,2735.0,2733.0,267.0
12009,12010,22/05/2020,Madhya Pradesh,5981,2868.0,2843.0,270.0
12010,12011,23/05/2020,Madhya Pradesh,6170,2809.0,3089.0,272.0
12011,12012,24/05/2020,Madhya Pradesh,6371,2823.0,3267.0,281.0
12012,12013,25/05/2020,Madhya Pradesh,6665,2967.0,3408.0,290.0
12013,12014,26/05/2020,Madhya Pradesh,6859,2988.0,3571.0,300.0
12014,12015,27/05/2020,Madhya Pradesh,7024,3030.0,3689.0,305.0
12015,12016,28/05/2020,Madhya Pradesh,7261,3021.0,3927.0,313.0
12016,12017,29/05/2020,Madhya Pradesh,7453,3082.0,4050.0,321.0
12017,12018,30/05/2020,Madhya Pradesh,7645,3042.0,4269.0,334.0
12018,12019,31/05/2020,Madhya Pradesh,7891,3104.0,4444.0,343.0
12019,12020,01/06/2020,Madhya Pradesh,8089,2897.0,4842.0,350.0
12020,12021,02/06/2020,Madhya Pradesh,8283,2922.0,5003.0,358.0
12021,12022,03/06/2020,Madhya Pradesh,8420,2835.0,5221.0,364.0
12022,12023,04/06/2020,Madhya Pradesh,8588,2772.0,5445.0,371.0
12023,12024,05/06/2020,Madhya Pradesh,8762,2748.0,5637.0,377.0
12024,12025,06/06/2020,Madhya Pradesh,8996,2734.0,5878.0,384.0
12025,12026,07/06/2020,Madhya Pradesh,9228,2721.0,6108.0,399.0
12026,12027,08/06/2020,Madhya Pradesh,9401,2658.0,6331.0,412.0
12027,12028,09/06/2020,Madhya Pradesh,9638,2688.0,6536.0,414.0
12028,12029,10/06/2020,Madhya Pradesh,9849,2700.0,6729.0,420.0
12029,12030,11/06/2020,Madhya Pradesh,10049,2730.0,6892.0,427.0
12030,12031,12/06/2020,Madhya Pradesh,10241,2768.0,7042.0,431.0
12031,12032,13/06/2020,Madhya Pradesh,10443,2802.0,7201.0,440.0
12032,12033,14/06/2020,Madhya Pradesh,10641,2817.0,7377.0,447.0
12033,12034,15/06/2020,Madhya Pradesh,10802,2666.0,7677.0,459.0
12034,12035,16/06/2020,Madhya Pradesh,10935,2567.0,7903.0,465.0
12035,12036,17/06/2020,Madhya Pradesh,11083,2455.0,8152.0,476.0
12036,12037,18/06/2020,Madhya Pradesh,11244,2374.0,8388.0,482.0
12037,12038,19/06/2020,Madhya Pradesh,11426,2308.0,8632.0,486.0
12038,12039,20/06/2020,Madhya Pradesh,11582,2339.0,8748.0,495.0
12039,12040,21/06/2020,Madhya Pradesh,11724,2343.0,8880.0,501.0
12040,12041,22/06/2020,Madhya Pradesh,11903,2373.0,9015.0,515.0
12041,12042,23/06/2020,Madhya Pradesh,12078,2342.0,9215.0,521.0
